country,arrivals_avg,departure_avg,In_avg_expense,Out_avg_expense
AUSTRIA,21166,7602,9379,9542
BAHRAIN,8764,206,1624,547
CANADA,17999,24418,14048,21453
CHINA,43876,50107,6321,70082
CZECH REPUBLIC,11596,4534,4875,3275
FRANCE,76581,22698,49269,31766
GERMANY,23897,75169,40418,72196
GREECE,15715,2288,12360,2741
HONG KONG,45133,65365,19710,16065
HUNGARY,9868,18600,5413,2085
INDONESIA,8162,4437,5749,4749
ITALY,42100,23134,18916,22473
JAPAN,8828,16653,13785,27902
MACAO,9683,574,16079,564
MALAYSIA,17540,12237,5970,6027
MEXICO,23436,13651,12484,7092
NETHERLANDS,10836,15638,10282,16043
POLAND,15864,50300,9272,6502
PORTUGAL,12998,3701,11042,3245
RUSSIA,27154,29097,9131,21739
SAUDI ARABIA,9629,8274,4631,10119
SINGAPORE,8215,6080,0,13504
SPAIN,53984,8921,15085,13000
SWEDEN,8919,11302,4966,10756
SWITZERLAND,8607,9796,14488,10380
THAILAND,15909,3973,23233,4928
TURKEY,22402,6189,16166,3229
UKRAINE,14295,16134,2698,2842
UK,27663,80388,39777,55327
USA,56372,62476,153602,81656
